id	nm	lat	lon	countryCode
2736327	Perozinho	41.065128	-8.585320	PT
2736469	Penafiel	41.208351	-8.282850	PT
2736520	Pedroucos	41.193150	-8.581670	PT
2736666	Pardilho	40.799252	-8.625980	PT
2736883	Pacos_de_Ferreira	41.276569	-8.376170	PT
2736884	Pacos_de_Brandao	40.975410	-8.583500	PT
2737033	Oliveirinha	40.607151	-8.591980	PT
2737038	Oliveira_do_Hospital	40.361801	-7.860140	PT
2737046	Oliveira_de_Azemeis	40.841011	-8.475550	PT
2737053	Oliveira	41.478191	-8.469650	PT
2737088	Oia	40.542641	-8.538560	PT
2737137	Nogueira_da_Regedoura	41.005299	-8.591950	PT
2737194	Negrelos	41.349461	-8.401450	PT
2737399	Moreira	41.056000	-8.389390	PT
2737599	Mogadouro	41.340340	-6.711870	PT
2737641	Miranda_do_Corvo	40.093182	-8.332610	PT
2737671	Milheiros	41.214779	-8.588370	PT
2737809	Mealhada	40.378059	-8.449910	PT
2737904	Marinhas	41.559059	-8.782970	PT
2737914	Margaride	41.368290	-8.200720	PT
2737949	Mangualde	40.604252	-7.761150	PT
2738052	Macieira_de_Cambra	40.859390	-8.373380	PT
2738106	Lustosa	41.340820	-8.317150	PT
2738154	Lousa	40.116730	-8.249210	PT
2738208	Lorvao	40.259380	-8.316840	PT
2738221	Lordelo	41.374111	-8.380160	PT
2738224	Lordelo	41.234509	-8.402970	PT
2738277	Lobao	40.986641	-8.485660	PT
2738362	Lavos	40.093632	-8.828260	PT
2738459	Lamego	41.097408	-7.809910	PT
2738479	Lamas	40.985970	-8.569230	PT
2738643	Jovim	41.111019	-8.519030	PT
2738658	Joane	41.439060	-8.408460	PT
2738737	Gulpilhares	41.082920	-8.626790	PT
2738766	Guifoes	41.200390	-8.667190	PT
2738803	Grijo	41.028358	-8.580170	PT
2738983	Godim	41.171040	-7.803030	PT
2739118	Galegos	41.562679	-8.572040	PT
2739152	Gafanha_da_Nazare	40.636211	-8.713380	PT
2739187	Fundao	40.140251	-7.501350	PT
2739590	Figueira_da_Foz	40.150848	-8.861790	PT
2739613	Fiaes	40.994461	-8.525370	PT
2739656	Ferreira	41.267181	-8.344340	PT
